Campaign Name,Placement Name,Media Property,Delivery Site,Monitored Ads,Eligible Impressions,Measurement Rate,Measured Impressions,Authentic Viewable Rate,Authentic Viewable Impressions,Viewable Rate,Viewable Impressions,Average Time (s) - Viewable Impressions,Total Viewable Time (s),100% Display Viewable Rate,100% Display Viewable Impressions,50% Display Viewable 1-5 Secs Rate,50% Display Viewable 5-15 Secs Rate,50% Display Viewable >15 Secs Rate,Authentic Custom Viewable Rate,Authentic Custom Viewable Impressions,Custom Viewable Rate,Custom Viewable Impressions
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,politicalwire.com,"3,188","3,187",0.930656,"2,966",0.410654,"1,218",0.960553,"2,849",22.22593155,"63,321.68",0.45996,"1,367",0.107335,0.121467,0.729812,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,kshb.com,"3,178","3,178",0.867841,"2,758",0.650109,"1,793",0.914431,"2,522",20.71684219,"52,247.88",0.137844,381,0.164255,0.157019,0.591172,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,farmersalmanac.com,"3,178","3,178",0.881372,"2,801",0.594074,"1,664",0.928954,"2,602",21.40376287,"55,692.59",0.327356,931,0.115331,0.136428,0.66315,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,mynbc5.com,"3,167","3,167",0.800758,"2,536",0.378943,961,0.92429,"2,344",20.44341766,"47,919.37",0.073738,187,0.16877,0.166404,0.589117,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,courant.com,"3,167","3,167",0.867067,"2,746",0.570284,"1,566",0.945739,"2,597",19.21296573,"49,896.07",0.152567,422,0.16992,0.156905,0.612075,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,kshb.com,"3,163","3,163",0.854885,"2,704",0.633506,"1,713",0.906435,"2,451",20.61935985,"50,538.05",0.136799,371,0.158186,0.166667,0.578909,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,southernplate.com,"3,162","3,162",0.878242,"2,777",0.547713,"1,521",0.904933,"2,513",22.79282571,"57,278.37",0.224077,631,0.081676,0.122514,0.68821,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,southernplate.com,"3,162","3,162",0.879823,"2,782",0.563264,"1,567",0.90151,"2,508",22.91576196,"57,472.73",0.208955,588,0.083866,0.120114,0.687278,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,mynbc5.com,"3,141","3,141",0.81439,"2,558",0.38663,989,0.922596,"2,360",19.43889873,"45,875.80",0.065625,168,0.196484,0.148047,0.577344,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,courant.com,"3,128","3,128",0.878197,"2,747",0.5668,"1,557",0.943211,"2,591",19.47887302,"50,469.76",0.157514,436,0.168353,0.143064,0.624639,,,,
