Reporting Date,Deal Name,Deal ID,Rate,% SCYLLA Impressions,Impressions,Gross Revenue,eCPM,Bid Requests,Valid Bid Responses,Bid Responses,Response Rate,Win Rate (Client),Avg Bid CPM,AVG% above Floor price needed to win Bid (CPM)
3/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_CTV_Sports,KRG-81ro-44474,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"62,691,000",0,0,0.00%,0.00%,$0.00 ,0.00%
3/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"400,839","$2,527.25 ",$6.30 ,"988,920,000","1,268,337","1,271,376",0.13%,31.60%,$6.31 ,100.32%
3/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"234,012","$1,708.68 ",$7.30 ,"988,920,000","646,004","646,752",0.07%,36.22%,$7.30 ,100.14%
3/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"568,449","$10,955.49 ",$19.27 ,"638,355,900","1,868,421","1,868,796",0.29%,30.42%,$19.28 ,113.41%
3/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"1,057,517,100",0,0,0.00%,0.00%,$0.00 ,0.00%
3/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"378,921","$2,394.38 ",$6.32 ,"948,277,600","1,557,782","1,564,642",0.16%,24.32%,$6.33 ,100.64%
3/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_CTV_Sports,KRG-81ro-44474,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"42,325,400",0,0,0.00%,0.00%,$0.00 ,0.00%
3/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,262,004,800",0,0,0.00%,0.00%,$0.00 ,0.00%
3/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"221,596","$1,554.71 ",$7.02 ,"379,464,400","681,719","687,461",0.18%,32.51%,$7.01 ,100.14%
3/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"37,901",$276.77 ,$7.30 ,"948,277,600","116,492","116,776",0.01%,32.54%,$7.30 ,100.14%
3/8/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"437,941","$8,420.84 ",$19.23 ,"668,143,700","1,670,411","1,670,710",0.25%,26.22%,$19.20 ,112.94%
3/9/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,473,464,500",0,0,0.00%,0.00%,$0.00 ,0.00%
3/9/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_CTV_Sports,KRG-81ro-44474,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"30,199,500",0,0,0.00%,0.00%,$0.00 ,0.00%
3/9/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"175,897","$1,234.77 ",$7.02 ,"396,956,100","577,440","580,942",0.15%,30.46%,$7.03 ,100.43%
3/9/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"212,490","$1,551.61 ",$7.30 ,"1,001,345,800","613,980","615,756",0.06%,34.61%,$7.31 ,100.27%
3/9/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"373,549","$2,363.03 ",$6.33 ,"1,001,345,800","1,504,649","1,519,600",0.15%,24.83%,$6.35 ,100.95%
3/9/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"554,359","$10,929.03 ",$19.71 ,"759,636,700","1,838,214","1,838,493",0.24%,30.16%,$19.80 ,116.47%
3/10/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_CTV_Sports,KRG-81ro-44474,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"49,896,200",0,0,0.00%,0.00%,$0.00 ,0.00%
3/10/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"274,518","$2,005.07 ",$7.30 ,"1,015,267,300","786,265","789,854",0.08%,34.91%,$7.31 ,100.27%
3/10/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"368,743","$2,331.04 ",$6.32 ,"1,015,267,300","1,241,507","1,259,659",0.12%,29.70%,$6.35 ,100.95%
3/10/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Enhanced CTV,KRG-0gx7-44475,$26.50 ,$0.00 ,0,$0.00 ,$0.00 ,"7,093,128,600",0,0,0.00%,0.00%,$0.00 ,0.00%
3/10/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"550,236","$10,855.05 ",$19.73 ,"684,363,400","1,810,712","1,810,931",0.26%,30.39%,$19.83 ,116.65%
